# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov  4 01:22:58 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_facility:  Discovery Facility
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_facility,sy_gaiamag
11 Com b,11 Com,2,1,0,Radial Velocity,Xinglong Station,4.4403800
11 Com b,11 Com,2,1,0,Radial Velocity,Xinglong Station,4.4403800
11 UMi b,11 UMi,1,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,4.5621600
11 UMi b,11 UMi,1,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,4.5621600
11 UMi b,11 UMi,1,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,4.5621600
14 And b,14 And,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,4.9178100
14 And b,14 And,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,4.9178100
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
14 Her b,14 Her,1,2,0,Radial Velocity,W. M. Keck Observatory,6.3830000
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,Multiple Observatories,6.0642800
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,Multiple Observatories,6.0642800
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,Multiple Observatories,6.0642800
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,Multiple Observatories,6.0642800
