# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov  4 01:31:51 2022
#
# User preference: *
#
# CONSTRAINT:  order by st_ppnum desc, hip_name asc
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN st_pmraerr:     Proper Motion (RA) Unc. [mas/yr]
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN st_pmdecerr:    Proper Motion (Dec) Unc. [mas/yr]
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_mbol:        Bolometric Magnitude [mag]
# COLUMN st_mbolerr:     Bolometric Magnitude Unc. [mag]
# COLUMN st_lumclass:    Luminosity Class
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
#
star_name,hip_name,hd_name,st_ppnum,st_dist,st_disterr1,st_disterr2,st_spttype,st_lbol,st_lbolerr,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_glon,st_glat,st_mbol,st_mbolerr,st_lumclass,st_rad,st_raderr,st_mass,st_masserr,st_logg,st_loggerr
HD 219134,HIP 114622,HD 219134,6,6.54,0.07,-0.06,K3.0V,0.310,0.100,2074.400,,295.000,,109.893489,-3.197316,6.490,0.010,MAINSEQ,0.77,,0.79,,4.59,
55 Cnc,HIP 43587,HD 75732,5,12.34,0.12,-0.12,G8V,0.660,0.100,-485.500,,-234.400,,196.794363,37.700247,5.500,0.030,MAINSEQ,0.93,,0.96,,4.48,
HD 20794,HIP 15510,HD 20794,4,6.04,0.06,-0.06,G8.0V,0.690,0.050,3038.100,,726.300,,250.752899,-56.083425,5.350,0.020,MAINSEQ,0.92,,0.85,,4.46,
tau Cet,HIP 8102,HD 10700,4,3.65,,,G8.5V,0.520,0.050,-1721.800,,854.100,,173.116266,-73.438232,5.680,0.010,MAINSEQ,0.83,,0.80,,4.52,
GJ 676 A,HIP 85647,,4,16.45,0.51,-0.48,M0,0.110,0.080,-259.200,,-185.700,,339.104697,-9.542984,8.500,0.070,MAINSEQ,0.73,,0.56,,,
HD 160691,HIP 86796,HD 160691,4,15.51,,,G3IV/V,2.010,0.100,-15.100,,-191.200,,340.061096,-11.497865,4.170,0.030,MAINSEQ,1.33,,1.15,,4.25,
HD 69830,HIP 40693,HD 69830,3,12.49,,,K0V,0.630,0.060,279.300,,-989.000,,234.560990,12.824494,5.460,0.030,MAINSEQ,0.90,,0.85,,4.47,
47 UMa,HIP 53721,HD 95128,3,14.06,,,G0V,1.710,0.100,-315.900,,55.100,,175.782189,63.369887,4.290,0.020,MAINSEQ,1.24,,1.06,,4.31,
61 Vir,HIP 64924,HD 115617,3,8.56,,,G5V,0.870,0.100,-1069.900,,-1063.800,,311.863121,44.094817,5.080,0.010,MAINSEQ,0.98,,0.94,,4.45,
ups And,HIP 7513,HD 9826,3,13.49,,,F8V,3.640,0.060,-172.600,,-381.000,,132.001162,-20.665103,3.440,0.020,MAINSEQ,1.64,,1.31,,4.16,
HD 136352,HIP 75181,HD 136352,3,14.81,0.15,-0.15,G3/5V,1.090,0.050,-1622.700,,-275.100,,327.080917,7.376672,4.800,0.010,MAINSEQ,1.04,,0.91,,4.38,
HD 181433,HIP 95467,HD 181433,3,26.76,0.83,-0.78,K2IV/V,0.360,0.100,-231.700,,236.000,,329.513158,-28.045175,6.250,0.090,MAINSEQ,0.83,,0.77,,4.49,
GJ 317,,,2,15.10,0.22,-0.22,M2.5 V,,,-366.500,,733.500,,246.799424,11.189983,,,,,,0.42,0.05,,
GJ 832,HIP 106440,HD 204961,2,4.95,,,M1.5V,0.030,0.090,-46.200,,-818.000,,349.175789,-46.350042,10.200,0.020,MAINSEQ,0.45,,0.41,,,
HD 217107,HIP 113421,HD 217107,2,19.86,0.20,-0.20,G8IV/V,1.240,0.040,-6.000,,-16.000,,70.474138,-53.323997,4.670,0.030,MAINSEQ,1.08,,1.11,,4.42,
HD 39091,HIP 26394,HD 39091,2,18.32,,,G1V,1.640,0.100,312.000,,1050.200,,292.516543,-29.776340,4.340,0.010,MAINSEQ,1.18,,1.07,,4.35,
HD 38529,HIP 27253,HD 38529,2,42.41,0.11,-0.11,G4 IV,,,-77.700,0.100,-142.000,0.100,204.317354,-13.836886,,,,2.56,,1.41,,3.77,
bet Pic,HIP 27321,HD 39060,2,19.44,,,A5V,9.080,0.050,4.700,,82.000,,258.364110,-30.611665,2.410,0.010,MAINSEQ,1.55,,1.76,,4.15,
7 CMa,HIP 31592,HD 47205,2,19.75,,,K1III(+M),11.990,0.060,62.300,,-69.900,,228.688177,-11.796088,2.470,0.030,GIANT,5.01,,1.89,,3.05,
HD 60532,HIP 36795,HD 60532,2,25.30,0.26,-0.25,F6V,9.300,0.100,-40.400,,46.800,,237.498127,-1.189598,2.420,0.020,MAINSEQ,2.59,,1.77,,3.83,
HD 142,HIP 522,HD 142,2,25.71,0.26,-0.25,F7V,3.000,0.110,575.200,,-39.900,,321.590336,-66.386046,3.650,0.040,MAINSEQ,1.40,,1.23,,4.26,
HD 128311,HIP 71395,HD 128311,2,16.50,0.17,-0.16,K0,0.320,0.060,205.500,,-249.700,,2.730026,59.838130,6.400,0.050,MAINSEQ,0.76,,0.83,,4.61,
HD 134987,HIP 74500,HD 134987,2,26.21,0.53,-0.51,G5V,1.630,0.060,-399.000,,-75.100,,339.187097,27.385997,4.370,0.050,MAINSEQ,1.22,,1.05,,4.31,
HD 169830,HIP 90485,HD 169830,2,37.64,0.15,-0.15,F8 V,4.590,,-0.500,0.200,16.500,0.100,3.686706,-8.471045,,,,,,1.40,,4.10,
HD 187123,HIP 97336,HD 187123,2,46.02,0.07,-0.07,G3 V,1.350,,142.600,0.100,-123.600,0.100,69.465917,4.680152,,,,,,1.00,0.10,,
HD 190360,HIP 98767,HD 190360,2,15.86,0.16,-0.16,G6IV+...,1.200,0.060,683.300,,-524.100,,67.411059,-0.670294,4.720,0.030,MAINSEQ,1.15,,0.98,,4.31,
HD 192310,HIP 99825,HD 192310,2,8.91,,,K3V,0.420,0.060,1241.300,,-181.500,,15.623924,-29.394371,5.970,0.020,MAINSEQ,0.81,,0.82,,4.55,
GJ 86,HIP 10138,HD 13445,1,10.78,,,K1V,0.420,0.100,2092.800,,654.300,,275.936774,-61.962899,5.960,0.020,MAINSEQ,0.80,,0.80,,4.54,
HD 196067,HIP 102125,HD 196067,1,39.98,0.05,-0.05,G1 V,3.730,,156.600,0.000,-162.100,0.000,318.444099,-33.048452,,,,1.73,0.21,1.29,0.08,4.24,0.03
HD 13931,HIP 10626,HD 13931,1,47.46,0.14,-0.14,G0,,,98.800,0.100,-183.600,0.100,138.831694,-16.447877,,,,1.25,0.02,1.30,0.13,4.36,0.04
HD 204941,HIP 106353,HD 204941,1,26.90,0.83,-0.78,K1/2V,0.320,0.070,-278.500,,-124.700,,29.459889,-44.424895,6.300,0.060,MAINSEQ,0.71,,0.74,,,
eps Ind A,HIP 108870,HD 209100,1,3.62,,,K4V,0.230,0.100,3960.000,,-2538.800,,336.207320,-48.039010,6.900,0.020,MAINSEQ,0.72,,0.68,,,
GJ 849,HIP 109388,,1,9.10,0.19,-0.18,M3,0.030,0.100,1134.900,,-19.700,,55.888371,-45.396775,10.570,0.050,MAINSEQ,0.55,,0.42,,,
HD 216437,HIP 113137,HD 216437,1,26.75,0.27,-0.26,G2/3IV,2.440,0.050,-43.200,,73.200,,316.271953,-43.905315,3.900,0.020,MAINSEQ,1.48,,1.12,,4.18,
51 Peg,HIP 113357,HD 217014,1,15.61,0.16,-0.15,G5V,1.450,0.040,208.100,,61.000,,90.061998,-34.727084,4.480,0.030,MAINSEQ,1.15,,1.05,,4.36,
HD 219077,HIP 114699,HD 219077,1,29.35,0.30,-0.29,G8V,3.030,0.110,477.500,,-425.000,,320.408328,-50.998564,3.780,0.040,MAINSEQ,1.94,,1.07,,3.91,
HD 220773,HIP 115697,HD 220773,1,49.00,,,F9,,,27.100,0.100,-222.300,0.100,90.039729,-48.724868,,,,,,1.16,,4.24,0.12
HD 222155,HIP 116616,HD 222155,1,50.68,0.08,-0.08,G2 V,,,195.300,0.000,-117.300,0.000,110.729752,-12.127556,,,,1.85,0.04,1.21,0.10,3.99,0.03
